Date;Open;High;Low;Close;Adj Close;Volume;dtigtao
2024-01-25;127,815.00;128,697.00;127,803.00;128,169.00;128,169.00;8,757,600.00;20240224_155002
2024-01-26;128,196.00;129,252.00;127,869.00;128,967.00;128,967.00;8,508,000.00;20240224_155002
2024-01-29;128,970.00;129,068.00;127,853.00;128,503.00;128,503.00;8,764,500.00;20240224_155002
2024-01-30;128,492.00;128,492.00;127,105.00;127,402.00;127,402.00;10,037,400.00;20240224_155002
2024-01-31;127,402.00;129,558.00;127,326.00;127,752.00;127,752.00;12,495,200.00;20240224_155002
2024-02-01;127,752.00;128,481.00;127,284.00;128,481.00;128,481.00;10,226,400.00;20240224_155002
2024-02-02;128,471.00;128,878.00;126,628.00;127,182.00;127,182.00;10,982,800.00;20240224_155002
2024-02-05;127,182.00;127,834.00;126,443.00;127,593.00;127,593.00;9,637,200.00;20240224_155002
2024-02-06;127,593.00;130,417.00;127,593.00;130,416.00;130,416.00;13,780,300.00;20240224_155002
2024-02-07;130,412.00;130,552.00;129,518.00;129,608.00;129,608.00;15,425,400.00;20240224_155002
2024-02-08;129,950.00;130,126.00;127,912.00;128,217.00;128,217.00;13,634,900.00;20240224_155002
2024-02-09;128,216.00;128,896.00;127,579.00;128,026.00;128,026.00;12,115,800.00;20240224_155002
2024-02-14;128,026.00;128,026.00;126,663.00;127,018.00;127,018.00;7,748,300.00;20240224_155002
2024-02-15;127,018.00;127,824.00;126,932.00;127,804.00;127,804.00;10,980,100.00;20240224_155002
2024-02-16;127,809.00;129,069.00;127,653.00;128,726.00;128,726.00;10,119,100.00;20240224_155002
2024-02-19;128,720.00;129,036.00;128,097.00;129,036.00;129,036.00;5,799,100.00;20240224_155002
2024-02-20;129,033.00;129,916.00;128,326.00;129,916.00;129,916.00;12,237,000.00;20240224_155002
2024-02-21;129,916.00;130,034.00;129,359.00;130,032.00;130,032.00;12,585,700.00;20240224_155002
2024-02-22;130,035.00;130,829.00;129,971.00;130,241.00;130,241.00;10,771,700.00;20240224_155002
2024-02-23;130,240.00;130,624.00;129,077.00;129,419.00;129,419.00;0.00;20240224_155002
