tipo_veiculo;valor;marca;modelo;anoModelo;combustivel;codigoFipe;mes_referencia;sigla_combustivel;Ano;id
1;R$ 25.408,00;Ford;Ka 1.0 8V/1.0 8V ST Flex 3p;2013;Gasolina;003325-1;março de 2024;G;2013-1;22
1;R$ 22.175,00;Ford;Ka 1.0 8V/1.0 8V ST Flex 3p;2012;Gasolina;003325-1;março de 2024;G;2012-1;22
1;R$ 20.695,00;Ford;Ka 1.0 8V/1.0 8V ST Flex 3p;2011;Gasolina;003325-1;março de 2024;G;2011-1;22
1;R$ 18.151,00;Ford;Ka 1.0 8V/1.0 8V ST Flex 3p;2010;Gasolina;003325-1;março de 2024;G;2010-1;22
1;R$ 17.665,00;Ford;Ka 1.0 8V/1.0 8V ST Flex 3p;2009;Gasolina;003325-1;março de 2024;G;2009-1;22
1;R$ 14.730,00;Ford;Ka 1.0 8V/1.0 8V ST Flex 3p;2008;Gasolina;003325-1;março de 2024;G;2008-1;22
1;R$ 52.941,00;Ford;Ka 1.0 FREESTYLE 12V Flex 5p Mec.;2021;Gasolina;003473-8;março de 2024;G;2021-1;22
1;R$ 51.056,00;Ford;Ka 1.0 FREESTYLE 12V Flex 5p Mec.;2020;Gasolina;003473-8;março de 2024;G;2020-1;22
1;R$ 52.427,00;Ford;Ka 1.0 S TiVCT Flex 5p;2021;Gasolina;003448-7;março de 2024;G;2021-1;22
1;R$ 50.443,00;Ford;Ka 1.0 S TiVCT Flex 5p;2020;Gasolina;003448-7;março de 2024;G;2020-1;22
1;R$ 47.254,00;Ford;Ka 1.0 S TiVCT Flex 5p;2019;Gasolina;003448-7;março de 2024;G;2019-1;22
1;R$ 40.757,00;Ford;Ka 1.0 S TiVCT Flex 5p;2018;Gasolina;003448-7;março de 2024;G;2018-1;22
1;R$ 53.116,00;Ford;Ka 1.0 SE/SE Plus TiVCT Flex 5p;2021;Gasolina;003408-8;março de 2024;G;2021-1;22
1;R$ 51.145,00;Ford;Ka 1.0 SE/SE Plus TiVCT Flex 5p;2020;Gasolina;003408-8;março de 2024;G;2020-1;22
1;R$ 47.742,00;Ford;Ka 1.0 SE/SE Plus TiVCT Flex 5p;2019;Gasolina;003408-8;março de 2024;G;2019-1;22
1;R$ 43.508,00;Ford;Ka 1.0 SE/SE Plus TiVCT Flex 5p;2018;Gasolina;003408-8;março de 2024;G;2018-1;22
1;R$ 41.020,00;Ford;Ka 1.0 SE/SE Plus TiVCT Flex 5p;2017;Gasolina;003408-8;março de 2024;G;2017-1;22
1;R$ 38.773,00;Ford;Ka 1.0 SE/SE Plus TiVCT Flex 5p;2016;Gasolina;003408-8;março de 2024;G;2016-1;22
1;R$ 37.827,00;Ford;Ka 1.0 SE/SE Plus TiVCT Flex 5p;2015;Gasolina;003408-8;março de 2024;G;2015-1;22
1;R$ 47.854,00;Ford;Ka 1.0 SEL TiVCT Flex 5p;2019;Gasolina;003409-6;março de 2024;G;2019-1;22
1;R$ 44.829,00;Ford;Ka 1.0 SEL TiVCT Flex 5p;2018;Gasolina;003409-6;março de 2024;G;2018-1;22
1;R$ 41.916,00;Ford;Ka 1.0 SEL TiVCT Flex 5p;2017;Gasolina;003409-6;março de 2024;G;2017-1;22
1;R$ 40.088,00;Ford;Ka 1.0 SEL TiVCT Flex 5p;2016;Gasolina;003409-6;março de 2024;G;2016-1;22
1;R$ 39.110,00;Ford;Ka 1.0 SEL TiVCT Flex 5p;2015;Gasolina;003409-6;março de 2024;G;2015-1;22
1;R$ 42.642,00;Ford;Ka 1.0 TECNO 12V Flex 5p;2018;Gasolina;003447-9;março de 2024;G;2018-1;22
1;R$ 20.798,00;Ford;Ka 1.0 TECNO 8V Flex 3p;2011;Gasolina;003327-8;março de 2024;G;2011-1;22
1;R$ 18.253,00;Ford;Ka 1.0 TECNO 8V Flex 3p;2010;Gasolina;003327-8;março de 2024;G;2010-1;22
1;R$ 17.784,00;Ford;Ka 1.0 TECNO 8V Flex 3p;2009;Gasolina;003327-8;março de 2024;G;2009-1;22
1;R$ 15.621,00;Ford;Ka 1.0 TECNO 8V Flex 3p;2008;Gasolina;003327-8;março de 2024;G;2008-1;22
1;R$ 12.963,00;Ford;Ka 1.0i 3p;2007;Gasolina;003018-0;março de 2024;G;2007-1;22
1;R$ 12.646,00;Ford;Ka 1.0i 3p;2006;Gasolina;003018-0;março de 2024;G;2006-1;22
1;R$ 11.929,00;Ford;Ka 1.0i 3p;2005;Gasolina;003018-0;março de 2024;G;2005-1;22
1;R$ 10.179,00;Ford;Ka 1.0i 3p;2004;Gasolina;003018-0;março de 2024;G;2004-1;22
1;R$ 9.669,00;Ford;Ka 1.0i 3p;2003;Gasolina;003018-0;março de 2024;G;2003-1;22
1;R$ 8.460,00;Ford;Ka 1.0i 3p;2000;Gasolina;003018-0;março de 2024;G;2000-1;22
1;R$ 7.441,00;Ford;Ka 1.0i 3p;1999;Gasolina;003018-0;março de 2024;G;1999-1;22
1;R$ 6.885,00;Ford;Ka 1.0i 3p;1998;Gasolina;003018-0;março de 2024;G;1998-1;22
1;R$ 6.230,00;Ford;Ka 1.0i 3p;1997;Gasolina;003018-0;março de 2024;G;1997-1;22
1;R$ 60.212,00;Ford;Ka 1.5 100 Anos Flex 5p Aut.;2020;Gasolina;003471-1;março de 2024;G;2020-1;22
1;R$ 65.611,00;Ford;Ka 1.5 FreeStyle 12V Flex 5p Aut.;2021;Gasolina;003457-6;março de 2024;G;2021-1;22
1;R$ 63.932,00;Ford;Ka 1.5 FreeStyle 12V Flex 5p Aut.;2020;Gasolina;003457-6;março de 2024;G;2020-1;22
1;R$ 58.565,00;Ford;Ka 1.5 FreeStyle 12V Flex 5p Aut.;2019;Gasolina;003457-6;março de 2024;G;2019-1;22
1;R$ 52.772,00;Ford;Ka 1.5 FreeStyle 12V Flex 5p Mec.;2019;Gasolina;003458-4;março de 2024;G;2019-1;22
1;R$ 57.465,00;Ford;Ka 1.5 SE 12V Flex 5p Aut.;2020;Gasolina;003459-2;março de 2024;G;2020-1;22
1;R$ 55.424,00;Ford;Ka 1.5 SE 12V Flex 5p Aut.;2019;Gasolina;003459-2;março de 2024;G;2019-1;22
1;R$ 51.503,00;Ford;Ka 1.5 SE 12V Flex 5p Mec.;2019;Gasolina;003462-2;março de 2024;G;2019-1;22
1;R$ 64.704,00;Ford;Ka 1.5 SE Plus 12V Flex 5p Aut.;2021;Gasolina;003460-6;março de 2024;G;2021-1;22
1;R$ 60.946,00;Ford;Ka 1.5 SE Plus 12V Flex 5p Aut.;2020;Gasolina;003460-6;março de 2024;G;2020-1;22
1;R$ 57.245,00;Ford;Ka 1.5 SE Plus 12V Flex 5p Aut.;2019;Gasolina;003460-6;março de 2024;G;2019-1;22
1;R$ 59.192,00;Ford;Ka 1.5 SE Plus 12V Flex 5p Mec.;2021;Gasolina;003461-4;março de 2024;G;2021-1;22
1;R$ 57.595,00;Ford;Ka 1.5 SE Plus 12V Flex 5p Mec.;2020;Gasolina;003461-4;março de 2024;G;2020-1;22
1;R$ 55.793,00;Ford;Ka 1.5 SE Plus 12V Flex 5p Mec.;2019;Gasolina;003461-4;março de 2024;G;2019-1;22
1;R$ 44.528,00;Ford;Ka 1.5 SE/SE PLUS 16V Flex 5p;2018;Gasolina;003410-0;março de 2024;G;2018-1;22
1;R$ 41.665,00;Ford;Ka 1.5 SE/SE PLUS 16V Flex 5p;2017;Gasolina;003410-0;março de 2024;G;2017-1;22
1;R$ 39.602,00;Ford;Ka 1.5 SE/SE PLUS 16V Flex 5p;2016;Gasolina;003410-0;março de 2024;G;2016-1;22
1;R$ 38.603,00;Ford;Ka 1.5 SE/SE PLUS 16V Flex 5p;2015;Gasolina;003410-0;março de 2024;G;2015-1;22
1;R$ 61.499,00;Ford;Ka 1.5 Sedan SE 12V Flex 4p Aut.;2020;Gasolina;003464-9;março de 2024;G;2020-1;22
1;R$ 55.965,00;Ford;Ka 1.5 Sedan SE 12V Flex 4p Aut.;2019;Gasolina;003464-9;março de 2024;G;2019-1;22
1;R$ 57.579,00;Ford;Ka 1.5 Sedan SE 12V Flex 4p Mec.;2021;Gasolina;003463-0;março de 2024;G;2021-1;22
1;R$ 54.550,00;Ford;Ka 1.5 Sedan SE 12V Flex 4p Mec.;2020;Gasolina;003463-0;março de 2024;G;2020-1;22
1;R$ 50.687,00;Ford;Ka 1.5 Sedan SE 12V Flex 4p Mec.;2019;Gasolina;003463-0;março de 2024;G;2019-1;22
1;R$ 65.061,00;Ford;Ka 1.5 Sedan SE Plus 12V Flex 4p Aut.;2021;Gasolina;003465-7;março de 2024;G;2021-1;22
1;R$ 61.451,00;Ford;Ka 1.5 Sedan SE Plus 12V Flex 4p Aut.;2020;Gasolina;003465-7;março de 2024;G;2020-1;22
1;R$ 55.761,00;Ford;Ka 1.5 Sedan SE Plus 12V Flex 4p Aut.;2019;Gasolina;003465-7;março de 2024;G;2019-1;22
