codigo;modelo
5585;{'codigo': 5585, 'nome': 'AMAROK CD2.0 16V/S CD2.0 16V TDI 4x2 Die'}
5586;{'codigo': 5586, 'nome': 'AMAROK CD2.0 16V/S CD2.0 16V TDI 4x4 Die'}
9895;{'codigo': 9895, 'nome': 'AMAROK Comfor. 3.0 V6 TDI 4x4 Dies. Aut.'}
8531;{'codigo': 8531, 'nome': 'AMAROK Comfor. CD 2.0 TDI 4x4 Dies. Aut.'}
5748;{'codigo': 5748, 'nome': 'AMAROK CS2.0 16V/S2.0 16V TDI 4x2 Diesel'}
5749;{'codigo': 5749, 'nome': 'AMAROK CS2.0 16V/S2.0 16V TDI 4x4 Diesel'}
8532;{'codigo': 8532, 'nome': 'AMAROK Extreme CD 3.0 4x4 TB Dies. Aut.'}
7854;{'codigo': 7854, 'nome': 'AMAROK Hig. Extreme CD 2.0 4x4 Dies. Aut'}
7674;{'codigo': 7674, 'nome': 'AMAROK Hig.ULTIMATE CD 2.0 4x4 Dies. Aut'}
5940;{'codigo': 5940, 'nome': 'AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut'}
5261;{'codigo': 5261, 'nome': 'AMAROK Highline CD 2.0 16V TDI 4x4 Dies.'}
8183;{'codigo': 8183, 'nome': 'AMAROK Highline CD 3.0 4x4 TB Dies. Aut.'}
5476;{'codigo': 5476, 'nome': 'AMAROK SE CD 2.0 16V TDI 4x4 Diesel'}
7367;{'codigo': 7367, 'nome': 'AMAROK T. Dark Label CD 2.0 4x4 Dies Aut'}
5350;{'codigo': 5350, 'nome': 'AMAROK Trendline CD 2.0 16V TDI 4x4 Dies'}
6277;{'codigo': 6277, 'nome': 'AMAROK Trendline CD 2.0 TDI 4X4 Dies Aut'}
2359;{'codigo': 2359, 'nome': 'Apolo GL 1.8'}
2360;{'codigo': 2360, 'nome': 'Apolo GLS/ Vip 1.8'}
2362;{'codigo': 2362, 'nome': 'Bora 2.0 8v Comfortline Aut.'}
2363;{'codigo': 2363, 'nome': 'Bora 2.0 8v Comfortline Mec.'}
2361;{'codigo': 2361, 'nome': 'Bora 2.0/ 2.0 Flex 8v Aut.'}
2364;{'codigo': 2364, 'nome': 'Bora 2.0/ 2.0 Flex 8v Mec.'}
2365;{'codigo': 2365, 'nome': 'Caravelle 2.4 Diesel'}
2366;{'codigo': 2366, 'nome': 'Corrado 2.0 Turbo'}
2367;{'codigo': 2367, 'nome': 'Corrado G-60 2.8'}
7077;{'codigo': 7077, 'nome': 'CROSSFOX  1.6 T. Flex 16V 5p'}
7078;{'codigo': 7078, 'nome': 'CROSSFOX  I MOTION 1.6 T. Flex 16V 5p'}
