codigo;modelo
655;{'codigo': 655, 'nome': 'Aerostar Mini-Van 3.8'}
656;{'codigo': 656, 'nome': 'Aspire 1.3'}
657;{'codigo': 657, 'nome': 'Belina GL 1.8 / 1.6'}
658;{'codigo': 658, 'nome': 'Belina L 1.8/ 1.6'}
9452;{'codigo': 9452, 'nome': 'Bronco Sport Wildtrak 2.0 Tb 16V AWD Aut'}
659;{'codigo': 659, 'nome': 'Club Wagon V8'}
660;{'codigo': 660, 'nome': 'Club Wagon XLT 4.9 V6'}
661;{'codigo': 661, 'nome': 'Contour SE/ GL/ LX  2.0 16V'}
662;{'codigo': 662, 'nome': 'Contour SE/GL/ LX 2.5 24V'}
663;{'codigo': 663, 'nome': 'Corcel II GL/GT'}
664;{'codigo': 664, 'nome': 'Corcel II L'}
665;{'codigo': 665, 'nome': 'Courier 1.3i/Furgão'}
666;{'codigo': 666, 'nome': 'Courier 1.6 L/ 1.6 Flex'}
667;{'codigo': 667, 'nome': 'Courier CLX 1.4i 16V'}
668;{'codigo': 668, 'nome': 'Courier Si 1.4i 16V'}
669;{'codigo': 669, 'nome': 'Courier Sport 1.6 8v'}
4134;{'codigo': 4134, 'nome': 'Courier Van 1.6/ 1.6 Flex 8V (Carga)'}
670;{'codigo': 670, 'nome': 'Courier XL/XL-RS 1.6/ XL 1.6 Flex'}
671;{'codigo': 671, 'nome': 'Crown Victoria LX 4.6'}
672;{'codigo': 672, 'nome': 'Del Rey Belina Ghia'}
673;{'codigo': 673, 'nome': 'Del Rey Belina GL'}
674;{'codigo': 674, 'nome': 'Del Rey Belina GLX'}
675;{'codigo': 675, 'nome': 'Del Rey Belina L'}
676;{'codigo': 676, 'nome': 'Del Rey Ghia 1.8 / 1.6 2p e 4p'}
677;{'codigo': 677, 'nome': 'Del Rey GLX 1.6/1.8 / GL 1.6/1.8 2p e 4p'}
678;{'codigo': 678, 'nome': 'Del Rey L 1.8 / 1.6 2p e 4p'}
8743;{'codigo': 8743, 'nome': 'EcoSport  100 Anos 1.5 Flex 5p Aut.'}
679;{'codigo': 679, 'nome': 'EcoSport 4WD 2.0/ 2.0 Flex 16V 5p'}
8004;{'codigo': 8004, 'nome': 'EcoSport FREESTYLE 1.5 12V Flex 5p Aut.'}
8005;{'codigo': 8005, 'nome': 'EcoSport FREESTYLE 1.5 12V Flex 5p Mec.'}
6157;{'codigo': 6157, 'nome': 'EcoSport FREESTYLE 1.6 16V Flex 5p'}
7371;{'codigo': 7371, 'nome': 'EcoSport FREESTYLE 1.6 16V Flex 5p Aut.'}
6464;{'codigo': 6464, 'nome': 'EcoSport FREESTYLE 2.0 16V 4WD Flex 5p'}
6158;{'codigo': 6158, 'nome': 'EcoSport FREESTYLE 2.0 16V Flex 5p'}
6913;{'codigo': 6913, 'nome': 'EcoSport FREESTYLE 2.0 16V Flex 5p Aut.'}
8210;{'codigo': 8210, 'nome': 'EcoSport FREESTYLE PLUS 1.5 Flex 5p Aut.'}
6159;{'codigo': 6159, 'nome': 'EcoSport S 1.6 16V Flex 5p'}
8006;{'codigo': 8006, 'nome': 'EcoSport SE 1.5 12V Flex 5p Aut.'}
8007;{'codigo': 8007, 'nome': 'EcoSport SE 1.5 12V Flex 5p Mec.'}
7372;{'codigo': 7372, 'nome': 'EcoSport SE 1.6 16V Flex 5p Aut.'}
6160;{'codigo': 6160, 'nome': 'EcoSport SE 1.6 16V Flex 5p Mec.'}
6263;{'codigo': 6263, 'nome': 'EcoSport SE 2.0 16V Flex 5p Aut.'}
9593;{'codigo': 9593, 'nome': 'EcoSport SE Direct 1.5 Flex 5p Aut.'}
7686;{'codigo': 7686, 'nome': 'EcoSport SE Direct 1.6 16V Flex 5p Aut.'}
8211;{'codigo': 8211, 'nome': 'EcoSport STORM 2.0 4WD 16V Flex 5p Aut.'}
8588;{'codigo': 8588, 'nome': 'EcoSport TITANIUM 1.5 12V Flex 5p Aut.'}
6161;{'codigo': 6161, 'nome': 'EcoSport TITANIUM 1.6 16V Flex 5p'}
6162;{'codigo': 6162, 'nome': 'EcoSport TITANIUM 2.0 16V Flex 5p'}
6264;{'codigo': 6264, 'nome': 'EcoSport TITANIUM 2.0 16V Flex 5p Aut.'}
680;{'codigo': 680, 'nome': 'EcoSport XL 1.6/ 1.6 Flex 8V 5p'}
681;{'codigo': 681, 'nome': 'EcoSport XL Supercharger 1.0 8V 95cv 5p'}
682;{'codigo': 682, 'nome': 'EcoSport XLS 1.6/ 1.6 Flex 8V 5p'}
4256;{'codigo': 4256, 'nome': 'EcoSport XLS 2.0/2.0 Flex 16V 5p Aut.'}
3886;{'codigo': 3886, 'nome': 'EcoSport XLS FREESTYLE 1.6 Flex 8V 5p'}
