codigo,modelo
655,Aerostar Mini-Van 3.8
656,Aspire 1.3
657,Belina GL 1.8 / 1.6
658,Belina L 1.8/ 1.6
9452,Bronco Sport Wildtrak 2.0 Tb 16V AWD Aut
659,Club Wagon V8
660,Club Wagon XLT 4.9 V6
661,Contour SE/ GL/ LX  2.0 16V
662,Contour SE/GL/ LX 2.5 24V
663,Corcel II GL/GT
664,Corcel II L
665,Courier 1.3i/Furgão
666,Courier 1.6 L/ 1.6 Flex
667,Courier CLX 1.4i 16V
668,Courier Si 1.4i 16V
669,Courier Sport 1.6 8v
4134,Courier Van 1.6/ 1.6 Flex 8V (Carga)
670,Courier XL/XL-RS 1.6/ XL 1.6 Flex
671,Crown Victoria LX 4.6
672,Del Rey Belina Ghia
673,Del Rey Belina GL
674,Del Rey Belina GLX
675,Del Rey Belina L
676,Del Rey Ghia 1.8 / 1.6 2p e 4p
677,Del Rey GLX 1.6/1.8 / GL 1.6/1.8 2p e 4p
678,Del Rey L 1.8 / 1.6 2p e 4p
8743,EcoSport  100 Anos 1.5 Flex 5p Aut.
679,EcoSport 4WD 2.0/ 2.0 Flex 16V 5p
8004,EcoSport FREESTYLE 1.5 12V Flex 5p Aut.
8005,EcoSport FREESTYLE 1.5 12V Flex 5p Mec.
6157,EcoSport FREESTYLE 1.6 16V Flex 5p
7371,EcoSport FREESTYLE 1.6 16V Flex 5p Aut.
6464,EcoSport FREESTYLE 2.0 16V 4WD Flex 5p
6158,EcoSport FREESTYLE 2.0 16V Flex 5p
6913,EcoSport FREESTYLE 2.0 16V Flex 5p Aut.
8210,EcoSport FREESTYLE PLUS 1.5 Flex 5p Aut.
6159,EcoSport S 1.6 16V Flex 5p
8006,EcoSport SE 1.5 12V Flex 5p Aut.
8007,EcoSport SE 1.5 12V Flex 5p Mec.
7372,EcoSport SE 1.6 16V Flex 5p Aut.
6160,EcoSport SE 1.6 16V Flex 5p Mec.
6263,EcoSport SE 2.0 16V Flex 5p Aut.
9593,EcoSport SE Direct 1.5 Flex 5p Aut.
7686,EcoSport SE Direct 1.6 16V Flex 5p Aut.
8211,EcoSport STORM 2.0 4WD 16V Flex 5p Aut.
8588,EcoSport TITANIUM 1.5 12V Flex 5p Aut.
6161,EcoSport TITANIUM 1.6 16V Flex 5p
6162,EcoSport TITANIUM 2.0 16V Flex 5p
6264,EcoSport TITANIUM 2.0 16V Flex 5p Aut.
680,EcoSport XL 1.6/ 1.6 Flex 8V 5p
681,EcoSport XL Supercharger 1.0 8V 95cv 5p
682,EcoSport XLS 1.6/ 1.6 Flex 8V 5p
4256,EcoSport XLS 2.0/2.0 Flex 16V 5p Aut.
3886,EcoSport XLS FREESTYLE 1.6 Flex 8V 5p
683,EcoSport XLT 1.6/ 1.6 Flex 8V 5p
4257,EcoSport XLT 2.0/ 2.0 Flex 16V 5p Aut.
684,EcoSport XLT 2.0/ 2.0 Flex 16V 5p Mec.
4258,EcoSport XLT FREESTYLE 1.6 Flex 8V 5p
4829,EcoSport XLT FREESTYLE 2.0 Flex 16V 5p
5413,EDGE LIMITED 3.5 V6 24V AWD Aut.
5741,EDGE LIMITED 3.5 V6 24V FWD Aut.
5742,EDGE SEL 3.5 V6  24V FWD Aut.
4810,EDGE SEL 3.5 V6 24V AWD Aut.
8589,EDGE ST 2.7 V6 24V AWD Aut.
7718,EDGE TITANIUM 3.5 V6 24V AWD Aut.
685,Escort  Racer 2.0i
686,Escort Ghia 1.8i / 1.8 / 1.6
687,Escort Ghia 2.0i / 2.0
688,Escort GL 1.6 MPI
689,Escort GL 1.6i / 1.6
690,Escort GL 1.8i / 1.8
691,Escort GL 1.8i 16V 3p
692,Escort GL 1.8i 16V 4p
693,Escort GLX 1.6i
694,Escort GLX 1.8i 16V 4p
695,Escort GLX 1.8i 8v
696,Escort Guarujá 1.8 4p
697,Escort Hobby 1.0
698,Escort Hobby 1.6
699,Escort L 1.8i / 1.8
700,Escort L/LX 1.6
701,Escort RS 1.8i 16V
702,Escort S.W GL 1.8i 16V
703,Escort S.W. GLX 1.8i 16V
704,Escort SW 1.9 16v
705,Escort SW GL 1.6 MPI
706,Escort XR3 1.8 / 1.6 Beneton/Form./Laser
707,Escort XR3 1.8 / 1.6 Conversível
708,Escort XR3 2.0i
709,Escort XR3 2.0i Conversível
710,Expedition 5.4 V8
711,Explorer Limited 4.0 4x4 V6 213cv
712,Explorer Limited 5.0 4x4 V8
713,Explorer Sport 4.0 V6
714,Explorer XL 4x2 4.0 V6
715,Explorer XL 4x4 4.0 V6
716,Explorer XLT 4x2 4.0 V6
717,Explorer XLT 4x4 4.0 V6
718,F-100 2.3
719,F-100 Blazer 2.3
720,F-100 CD 2.3
721,F-100 Super 2.3
722,F-100 Super Série 2.3
723,F-1000 CD/Blazer 3.6
724,F-1000 CD/Blazer 3.9 Dies.
725,F-1000 Lightning/ Super 4.9i
726,F-1000 Regular Cab. 4.9i
727,F-1000 S. S. Diesel / S.S. Diesel Turbo
728,F-1000 SR XK  Deserter Diesel
729,F-1000 SR XK Deserter
730,F-1000 Super 3.6 / Super Série 3.6
731,F-1000 Super CE 4.9i / 3.6
732,F-1000 Super Diesel / Super Diesel Turbo
733,F-1000 Super Diesel CE 3.9
734,F-1000 Super Série CE 4.9/3.6
735,F-1000 Super Série CE Diesel 3.9
736,F-1000 Super/ S.Série 4x4 3.9 Diesel
738,F-1000 Tropical CD 4.9i
737,F-1000 Tropical CD HSD 2.5/4.3 Diesel TB
739,F-1000 Tropical SL/ Van 4.9i
740,F-1000 Tropical SL/ Van T.Diesel (todas)
741,F-1000 XL 2.5 HSD Diesel TB
742,F-1000 XL 4.9i
743,F-1000 XL 4.9i CE
744,F-1000 XL 4x4 Diesel Turbo
745,F-1000 XL Diesel Turbo
746,F-1000 XLT 2.5 HSD Diesel TB
747,F-1000 XLT 4x4 Diesel Turbo
748,F-1000 XLT CE 4.9i
749,F-1000 XLT Diesel Turbo
750,F-1000 XLT/XL Lighting 4.9i
10398,F-150 Lariat 4x4 5.0 V8
10399,F-150 Platinum 4x4 5.0 V8
751,F-150 XL Triton 4.3 V6
752,F-150 XLT Triton 4.3
753,F-150 XLT Triton 4.6 V8
754,F-150 XLT Triton 5.8
5191,F-250 F-MILHA CD 3.9 TB Diesel
6032,F-250 Tropica./Tropmine Exec. 3.9 Diesel
4161,F-250 TropiCab CE 3.9 TB Diesel
755,F-250 Tropical 3.9 Diesel
756,F-250 Tropical 4.2 CE / CD Diesel TB
757,F-250 Tropical 4.2 V6
758,F-250 Tropical SL/ Van T.Diesel (todas)
4162,F-250 Tropicampo CD 3.9 TB Diesel
4163,F-250 Tropiclassic 3.9 TB Diesel
4164,F-250 Tropivan Executive 3.9 TB Diesel
4165,F-250 Tropivan/Tropi. Plus 3.9 TB Diesel
762,F-250 XL 3.9 4x2 Diesel
4056,F-250 XL 3.9 4x4 TB Diesel
4057,F-250 XL 3.9 CD TB Diesel
759,F-250 XL 4.2 180cv CD TB Diesel
760,F-250 XL 4.2 Turbo Diesel
761,F-250 XL 4.2 V6
763,F-250 XL Super Duty 3.9 Diesel
764,F-250 XL Super Duty 4.2 TB Diesel
765,F-250 XL Super Duty 4.2 V6
4058,F-250 XLT 3.9 4x2 CD TB Diesel
766,F-250 XLT 3.9 4x2 Diesel TB
4059,F-250 XLT 3.9 4x4 CD TB Diesel
4060,F-250 XLT 3.9 4x4 TB Diesel
767,F-250 XLT 4.2 180cv CD TB Diesel
768,F-250 XLT 4.2 TB Diesel
769,F-250 XLT 4.2 V6
4135,Fiesta 1.0 8V Flex/Class 1.0 8V Flex 5p
770,Fiesta 1.0i 3p e 5p
771,Fiesta 1.3  3p e 5p
6422,Fiesta 1.5 16V Flex Mec. 5p
6423,Fiesta 1.6 16V Flex Aut. 5p
6424,Fiesta 1.6 16V Flex Mec. 5p
772,Fiesta 1.6 8V Flex/Class 1.6 8V Flex 5p
773,Fiesta Class 1.0 2p
774,Fiesta Class 1.0 4p
775,Fiesta Class 1.6 8V 98cv 5p
776,Fiesta CLX 1.3i 3p
777,Fiesta CLX 1.3i 5p
778,Fiesta CLX 1.4i 16V 3p e 5p
779,Fiesta GL 1.0 3p
780,Fiesta GL 1.0 5p
781,Fiesta GL Class 1.0i 5p
782,Fiesta GLX 1.6 8V 3p
783,Fiesta GLX 1.6 8V 5p
784,Fiesta Personnalité 1.0 8V 66cv 5p
6425,Fiesta S 1.0 8V Flex 5p
6426,Fiesta SE 1.0 8V Flex 5p
5668,Fiesta SE 1.6 16V Flex 5p
6427,Fiesta SE 1.6 8V Flex 5p
8148,Fiesta SE Plus 1.6 16V Flex Aut. 5p
8008,Fiesta SE Plus Direct 1.6 16V Flex Aut.
7753,Fiesta SE Style 1.6 16V Flex Mec. 5p
785,Fiesta Sed. 1.6 8V Flex 4p
786,Fiesta Sed. Personnalité 1.0 8V 4p
787,Fiesta Sed. Supercharger 1.0 8V 4p
