,logradouro,bairro,localidade,uf,ibge,gia,ddd,siafi,nome_arquivo,data_arquivo,ccep,cep_loc,ccep_compl
0,Rua Mairiporã,Mantiqueira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07613580,07613,580
1,Rua JasminsJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605020,07605,020
2,Rua OrquideasJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605065,07605,065
3,Rua GirassolJd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605225,07605,225
4,Rua das RosasJd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605200,07605,200
5,Rua AntúriosJd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605230,07605,230
6,Rua dos CravosJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605070,07605,070
7,Alameda LíriosJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605025,07605,025
8,Alameda TulipasJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605095,07605,095
9,Alameda GiestasJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605045,07605,045
10,Alameda GirassolJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605060,07605,060
11,Rua Acácias - Jd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605180,07605,180
12,Alameda AcáciasJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605030,07605,030
13,Rua HortênciasJd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605240,07605,240
14,Alameda AzaléiaJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605015,07605,015
15,Alameda BegôniasJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605035,07605,035
16,Alameda das RosasJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605080,07605,080
17,Praça JacarandáJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605010,07605,010
18,Praça Lions Club de Mairiporã,Capoavinha,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07629460,07629,460
19,Alameda AntúriosJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605100,07605,100
20,Rua TucanoPaineira de Mairipora,Mato Dentro,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07658515,07658,515
21,Praça Rotary Club de Mairiporã,Centro,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07600026,07600,026
22,Rua das BegôniasJd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605205,07605,205
23,Rua Flor de LotusJd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605220,07605,220
24,Alameda MargaridasJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605075,07605,075
25,Alameda Giestas - Jd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605170,07605,170
26,Alameda dos TucanosAld Mairiporã,Mato Dentro,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07656130,07656,130
27,Alameda Lírios - Jd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605210,07605,210
28,Alameda Tulipas - Jd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605215,07605,215
29,Travessa dos TucanosAld Mairiporã,Mato Dentro,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07656135,07656,135
30,Alameda dos JasminsJd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605190,07605,190
31,Alameda Azaléia - Jd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605175,07605,175
32,Alameda Flor de MaioJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605040,07605,040
33,Alameda Amor PerfeitoJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605085,07605,085
34,Travessa Olho D'ÁguaAld Mairiporã,Mato Dentro,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07656175,07656,175
35,Rua das Orquideas - Jd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605195,07605,195
36,Alameda Camélias - Jd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605185,07605,185
37,Alameda Flor de Maio - Jd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605165,07605,165
38,Alameda Amor Perfeito - Jd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605150,07605,150
39,Alameda das Margaridas - Jd Mairipora II,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605235,07605,235
40,Alameda Mater Boni ConsiliiJd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605090,07605,090
41,Alameda das Ilhas Havaianas Jd Mairipora I,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605055,07605,055
42,Rodovia Arão Sahm,Mantiqueira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07613500,07613,500
43,Rodovia Arão Sahm,Remédios,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07652010,07652,010
44,Rodovia Arão Sahm,Boa Vista,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07613300,07613,300
45,Rodovia Arão Sahm,Luiz Fagundes,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07625500,07625,500
46,Rodovia Arão Sahm,Rio Acima,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07631200,07631,200
47,Rodovia Arão Sahm,Terra Preta (Terra Preta),Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07662810,07662,810
48,Rodovia Arão Sahm,Jundiaizinho (Terra Preta),Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07664000,07664,000
49,Rodovia Fernão Dias,Centro,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07600070,07600,070
50,Rodovia Fernão Dias,Jundiaizinho (Terra Preta),Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07663000,07663,000
51,Rodovia Fernão Dias,Capoavinha,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07629000,07629,000
52,Rodovia Fernão Dias,Moinho,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07600400,07600,400
53,Rodovia Fernão Dias,Luiz Fagundes,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07625000,07625,000
54,Rodovia Fernão Dias,Rio Acima,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07631300,07631,300
55,Rodovia Fernão Dias,Cidade Jardim,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07600320,07600,320
56,Rodovia Fernão Dias,Terra Preta (Terra Preta),Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07661000,07661,000
57,Rodovia Fernão Dias,Olho D'Água,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07602200,07602,200
58,Rodovia Prefeito Luiz Salomao Chamma,Lavapés,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07600598,07600,598
59,Rodovia Prefeito Luiz Salomao Chamma,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605700,07605,700
60,Estrada Armando Barbosa de Almeida,Chácara Arantes,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07600740,07600,740
61,Estrada Armando Barbosa de Almeida,Rio Abaixo,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07605005,07605,005
62,Estrada Armando Barbosa de Almeida,Caceia,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07604525,07604,525
63,Estrada D,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642700,07642,700
