;id;municipio;estado;regiao;uf;data
0;291790410;Jandaíra;Bahia;Nordeste;BA;2024-02-04 15:58:33
1;311350310;Carbonita;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
2;520005005;Abadia de Goiás;Goiás;Centro-Oeste;GO;2024-02-04 15:58:33
3;310010405;Abadia dos Dourados;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
4;520010005;Abadiânia;Goiás;Centro-Oeste;GO;2024-02-04 15:58:33
5;310020305;Abaeté;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
6;315550410;Rio Paranaíba;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
7;316210407;São Gotardo;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
8;150010705;Abaetetuba;Pará;Norte;PA;2024-02-04 15:58:33
9;230010105;Abaiara;Ceará;Nordeste;CE;2024-02-04 15:58:33
10;313840110;Leopoldina;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
11;290010805;Abaíra;Bahia;Nordeste;BA;2024-02-04 15:58:33
12;410490710;Castro;Paraná;Sul;PR;2024-02-04 15:58:33
13;290020705;Abaré;Bahia;Nordeste;BA;2024-02-04 15:58:33
14;330450810;Rio das Flores;Rio de Janeiro;Sudeste;RJ;2024-02-04 15:58:33
15;410010305;Abatiá;Paraná;Sul;PR;2024-02-04 15:58:33
16;420005105;Abdon Batista;Santa Catarina;Sul;SC;2024-02-04 15:58:33
17;150013105;Abel Figueiredo;Pará;Norte;PA;2024-02-04 15:58:33
18;420010105;Abelardo Luz;Santa Catarina;Sul;SC;2024-02-04 15:58:33
19;230580308;Ipu;Ceará;Nordeste;CE;2024-02-04 15:58:33
20;291840707;Juazeiro;Bahia;Nordeste;BA;2024-02-04 15:58:33
21;330010010;Angra dos Reis;Rio de Janeiro;Sudeste;RJ;2024-02-04 15:58:33
22;290570110;Camaçari;Bahia;Nordeste;BA;2024-02-04 15:58:33
23;310030205;Abre Campo;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
24;260005405;Abreu e Lima;Pernambuco;Nordeste;PE;2024-02-04 15:58:33
25;170025105;Abreulândia;Tocantins;Norte;TO;2024-02-04 15:58:33
26;310210010;Alto Rio Doce;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
27;110020510;Porto Velho;Rondônia;Norte;RO;2024-02-04 15:58:33
28;310040105;Acaiaca;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
29;210005505;Açailândia;Maranhão;Nordeste;MA;2024-02-04 15:58:33
30;290030605;Acajutiba;Bahia;Nordeste;BA;2024-02-04 15:58:33
31;150020605;Acará;Pará;Norte;PA;2024-02-04 15:58:33
32;230015005;Acarape;Ceará;Nordeste;CE;2024-02-04 15:58:33
33;230020005;Acaraú;Ceará;Nordeste;CE;2024-02-04 15:58:33
34;240010905;Acari;Rio Grande do Norte;Nordeste;RN;2024-02-04 15:58:33
35;220005305;Acauã;Piauí;Nordeste;PI;2024-02-04 15:58:33
36;313835110;Leme do Prado;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
37;430003405;Aceguá;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
38;320313010;João Neiva;Espírito Santo;Sudeste;ES;2024-02-04 15:58:33
39;430745007;Esperança do Sul;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
40;230030905;Acopiara;Ceará;Nordeste;CE;2024-02-04 15:58:33
41;510010205;Acorizal;Mato Grosso;Centro-Oeste;MT;2024-02-04 15:58:33
42;120001305;Acrelândia;Acre;Norte;AC;2024-02-04 15:58:33
43;520013405;Acreúna;Goiás;Centro-Oeste;GO;2024-02-04 15:58:33
44;240020805;Açu;Rio Grande do Norte;Nordeste;RN;2024-02-04 15:58:33
45;292100510;Mata de São João;Bahia;Nordeste;BA;2024-02-04 15:58:33
46;130090415;Canutama;Amazonas;Norte;AM;2024-02-04 15:58:33
47;310050005;Açucena;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
48;230533210;Ibicuitinga;Ceará;Nordeste;CE;2024-02-04 15:58:33
49;292810910;Santa Maria da Vitória;Bahia;Nordeste;BA;2024-02-04 15:58:33
50;231320307;Tamboril;Ceará;Nordeste;CE;2024-02-04 15:58:33
51;230850007;Mombaça;Ceará;Nordeste;CE;2024-02-04 15:58:33
52;412220610;Rio Branco do Sul;Paraná;Sul;PR;2024-02-04 15:58:33
53;292860410;Santo Amaro;Bahia;Nordeste;BA;2024-02-04 15:58:33
54;313190110;Itabirito;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
55;350010505;Adamantina;São Paulo;Sudeste;SP;2024-02-04 15:58:33
56;310850310;Botumirim;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
57;520015905;Adelândia;Goiás;Centro-Oeste;GO;2024-02-04 15:58:33
58;412730410;Terra Rica;Paraná;Sul;PR;2024-02-04 15:58:33
59;350020405;Adolfo;São Paulo;Sudeste;SP;2024-02-04 15:58:33
60;410020205;Adrianópolis;Paraná;Sul;PR;2024-02-04 15:58:33
61;230470710;Granja;Ceará;Nordeste;CE;2024-02-04 15:58:33
62;290035505;Adustina;Bahia;Nordeste;BA;2024-02-04 15:58:33
63;292930510;São Gonçalo dos Campos;Bahia;Nordeste;BA;2024-02-04 15:58:33
64;260010405;Afogados da Ingazeira;Pernambuco;Nordeste;PE;2024-02-04 15:58:33
65;330095110;Comendador Levy Gasparian;Rio de Janeiro;Sudeste;RJ;2024-02-04 15:58:33
