;id;nome;id_mun;nm_mun;id_mcr;nm_mcr;id_uf;nm_uf;sigla_uf;id_reg;nm_reg;sigla_rg;dtigtao
0;291790410;Abadia;2917904;Jandaíra;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE;2024-02-09
1;311350310;Abadia de Carbonita;3113503;Carbonita;3103;Jequitinhonha;31;Minas Gerais;MG;3;Sudeste;SE;2024-02-09
2;520005005;Abadia de Goiás;5200050;Abadia de Goiás;5203;Centro Goiano;52;Goiás;GO;5;Centro-Oeste;CO;2024-02-09
3;310010405;Abadia dos Dourados;3100104;Abadia dos Dourados;3105;Triângulo Mineiro/Alto Paranaíba;31;Minas Gerais;MG;3;Sudeste;SE;2024-02-09
4;520010005;Abadiânia;5200100;Abadiânia;5204;Leste Goiano;52;Goiás;GO;5;Centro-Oeste;CO;2024-02-09
5;310020305;Abaeté;3100203;Abaeté;3106;Central Mineira;31;Minas Gerais;MG;3;Sudeste;SE;2024-02-09
6;315550410;Abaeté dos Mendes;3155504;Rio Paranaíba;3105;Triângulo Mineiro/Alto Paranaíba;31;Minas Gerais;MG;3;Sudeste;SE;2024-02-09
7;316210407;Abaeté dos Venâncios;3162104;São Gotardo;3105;Triângulo Mineiro/Alto Paranaíba;31;Minas Gerais;MG;3;Sudeste;SE;2024-02-09
8;150010705;Abaetetuba;1500107;Abaetetuba;1504;Nordeste Paraense;15;Pará;PA;1;Norte;N;2024-02-09
9;230010105;Abaiara;2300101;Abaiara;2307;Sul Cearense;23;Ceará;CE;2;Nordeste;NE;2024-02-09
10;313840110;Abaíba;3138401;Leopoldina;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;2024-02-09
11;290010805;Abaíra;2900108;Abaíra;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE;2024-02-09
12;410490710;Abapã;4104907;Castro;4105;Centro Oriental Paranaense;41;Paraná;PR;4;Sul;S;2024-02-09
13;290020705;Abaré;2900207;Abaré;2902;Vale São-Franciscano da Bahia;29;Bahia;BA;2;Nordeste;NE;2024-02-09
14;330450810;Abarracamento;3304508;Rio das Flores;3305;Sul Fluminense;33;Rio de Janeiro;RJ;3;Sudeste;SE;2024-02-09
15;410010305;Abatiá;4100103;Abatiá;4104;Norte Pioneiro Paranaense;41;Paraná;PR;4;Sul;S;2024-02-09
16;420005105;Abdon Batista;4200051;Abdon Batista;4203;Serrana;42;Santa Catarina;SC;4;Sul;S;2024-02-09
17;150013105;Abel Figueiredo;1500131;Abel Figueiredo;1506;Sudeste Paraense;15;Pará;PA;1;Norte;N;2024-02-09
18;420010105;Abelardo Luz;4200101;Abelardo Luz;4201;Oeste Catarinense;42;Santa Catarina;SC;4;Sul;S;2024-02-09
19;230580308;Abílio Martins;2305803;Ipu;2301;Noroeste Cearense;23;Ceará;CE;2;Nordeste;NE;2024-02-09
20;291840707;Abóbora;2918407;Juazeiro;2902;Vale São-Franciscano da Bahia;29;Bahia;BA;2;Nordeste;NE;2024-02-09
21;330010010;Abraão;3300100;Angra dos Reis;3305;Sul Fluminense;33;Rio de Janeiro;RJ;3;Sudeste;SE;2024-02-09
22;290570110;Abrantes;2905701;Camaçari;2905;Metropolitana de Salvador;29;Bahia;BA;2;Nordeste;NE;2024-02-09
23;310030205;Abre Campo;3100302;Abre Campo;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;2024-02-09
24;260005405;Abreu e Lima;2600054;Abreu e Lima;2605;Metropolitana de Recife;26;Pernambuco;PE;2;Nordeste;NE;2024-02-09
25;170025105;Abreulândia;1700251;Abreulândia;1701;Ocidental do Tocantins;17;Tocantins;TO;1;Norte;N;2024-02-09
26;310210010;Abreus;3102100;Alto Rio Doce;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;2024-02-09
27;110020510;Abunã;1100205;Porto Velho;1101;Madeira-Guaporé;11;Rondônia;RO;1;Norte;N;2024-02-09
28;310040105;Acaiaca;3100401;Acaiaca;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;2024-02-09
29;210005505;Açailândia;2100055;Açailândia;2102;Oeste Maranhense;21;Maranhão;MA;2;Nordeste;NE;2024-02-09
30;290030605;Acajutiba;2900306;Acajutiba;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE;2024-02-09
31;150020605;Acará;1500206;Acará;1504;Nordeste Paraense;15;Pará;PA;1;Norte;N;2024-02-09
