;id;nome;id_mun;nm_mun;id_mcr;nm_mcr;id_uf;nm_uf;sigla_uf;id_reg;nm_reg;sigla_rg;rgimd_id;rgimd_nm;rgint_id;rgint_nm;rguf_id;rguf_sgl;rguf_nm;rgrg_id;rgrg_sgl;rgrg_nm;dtigtao
0;2900108;Abaíra;29023;Seabra;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290013;Brumado;2904;Vitória da Conquista;29;BA;Bahia;2;NE;Nordeste;2024-02-09
1;2900207;Abaré;29005;Paulo Afonso;2902;Vale São-Franciscano da Bahia;29;Bahia;BA;2;Nordeste;NE;290024;Paulo Afonso;2909;Paulo Afonso;29;BA;Bahia;2;NE;Nordeste;2024-02-09
2;2900306;Acajutiba;29017;Alagoinhas;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE;290002;Alagoinhas;2901;Salvador;29;BA;Bahia;2;NE;Nordeste;2024-02-09
3;2900355;Adustina;29015;Ribeira do Pombal;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE;290027;Cícero Dantas;2909;Paulo Afonso;29;BA;Bahia;2;NE;Nordeste;2024-02-09
4;2900405;Água Fria;29012;Feira de Santana;2903;Centro Norte Baiano;29;Bahia;BA;2;Nordeste;NE;290029;Feira de Santana;2910;Feira de Santana;29;BA;Bahia;2;NE;Nordeste;2024-02-09
5;2900504;Érico Cardoso;29025;Livramento do Brumado;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290013;Brumado;2904;Vitória da Conquista;29;BA;Bahia;2;NE;Nordeste;2024-02-09
6;2900603;Aiquara;29024;Jequié;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290012;Jequié;2904;Vitória da Conquista;29;BA;Bahia;2;NE;Nordeste;2024-02-09
7;2900702;Alagoinhas;29017;Alagoinhas;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE;290002;Alagoinhas;2901;Salvador;29;BA;Bahia;2;NE;Nordeste;2024-02-09
8;2900801;Alcobaça;29032;Porto Seguro;2907;Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290008;Teixeira de Freitas;2903;Ilhéus ¿ Itabuna;29;BA;Bahia;2;NE;Nordeste;2024-02-09
9;2900900;Almadina;29031;Ilhéus-Itabuna;2907;Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290007;Ilhéus ¿ Itabuna;2903;Ilhéus ¿ Itabuna;29;BA;Bahia;2;NE;Nordeste;2024-02-09
10;2901007;Amargosa;29024;Jequié;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290003;Santo Antônio de Jesus;2902;Santo Antônio de Jesus;29;BA;Bahia;2;NE;Nordeste;2024-02-09
11;2901106;Amélia Rodrigues;29019;Catu;2905;Metropolitana de Salvador;29;Bahia;BA;2;Nordeste;NE;290029;Feira de Santana;2910;Feira de Santana;29;BA;Bahia;2;NE;Nordeste;2024-02-09
12;2901155;América Dourada;29009;Irecê;2903;Centro Norte Baiano;29;Bahia;BA;2;Nordeste;NE;290020;Irecê;2907;Irecê;29;BA;Bahia;2;NE;Nordeste;2024-02-09
13;2901205;Anagé;29028;Vitória da Conquista;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290011;Vitória da Conquista;2904;Vitória da Conquista;29;BA;Bahia;2;NE;Nordeste;2024-02-09
14;2901304;Andaraí;29023;Seabra;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290031;Itaberaba;2910;Feira de Santana;29;BA;Bahia;2;NE;Nordeste;2024-02-09
15;2901353;Andorinha;29008;Senhor do Bonfim;2903;Centro Norte Baiano;29;Bahia;BA;2;Nordeste;NE;290023;Senhor do Bonfim;2908;Juazeiro;29;BA;Bahia;2;NE;Nordeste;2024-02-09
16;2901403;Angical;29002;Cotegipe;2901;Extremo Oeste Baiano;29;Bahia;BA;2;Nordeste;NE;290018;Barreiras;2906;Barreiras;29;BA;Bahia;2;NE;Nordeste;2024-02-09
17;2901502;Anguera;29012;Feira de Santana;2903;Centro Norte Baiano;29;Bahia;BA;2;Nordeste;NE;290029;Feira de Santana;2910;Feira de Santana;29;BA;Bahia;2;NE;Nordeste;2024-02-09
18;2901601;Antas;29015;Ribeira do Pombal;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE;290027;Cícero Dantas;2909;Paulo Afonso;29;BA;Bahia;2;NE;Nordeste;2024-02-09
19;2901700;Antônio Cardoso;29012;Feira de Santana;2903;Centro Norte Baiano;29;Bahia;BA;2;Nordeste;NE;290029;Feira de Santana;2910;Feira de Santana;29;BA;Bahia;2;NE;Nordeste;2024-02-09
20;2901809;Antônio Gonçalves;29008;Senhor do Bonfim;2903;Centro Norte Baiano;29;Bahia;BA;2;Nordeste;NE;290023;Senhor do Bonfim;2908;Juazeiro;29;BA;Bahia;2;NE;Nordeste;2024-02-09
21;2901908;Aporá;29017;Alagoinhas;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE;290002;Alagoinhas;2901;Salvador;29;BA;Bahia;2;NE;Nordeste;2024-02-09
22;2901957;Apuarema;29024;Jequié;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290012;Jequié;2904;Vitória da Conquista;29;BA;Bahia;2;NE;Nordeste;2024-02-09
23;2902005;Aracatu;29027;Brumado;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290013;Brumado;2904;Vitória da Conquista;29;BA;Bahia;2;NE;Nordeste;2024-02-09
24;2902054;Araçás;29017;Alagoinhas;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE;290002;Alagoinhas;2901;Salvador;29;BA;Bahia;2;NE;Nordeste;2024-02-09
25;2902104;Araci;29016;Serrinha;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE;290033;Serrinha;2910;Feira de Santana;29;BA;Bahia;2;NE;Nordeste;2024-02-09
26;2902203;Aramari;29017;Alagoinhas;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE;290002;Alagoinhas;2901;Salvador;29;BA;Bahia;2;NE;Nordeste;2024-02-09
27;2902252;Arataca;29031;Ilhéus-Itabuna;2907;Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290010;Camacan;2903;Ilhéus ¿ Itabuna;29;BA;Bahia;2;NE;Nordeste;2024-02-09
28;2902302;Aratuípe;29020;Santo Antônio de Jesus;2905;Metropolitana de Salvador;29;Bahia;BA;2;Nordeste;NE;290006;Nazaré ¿ Maragogipe;2902;Santo Antônio de Jesus;29;BA;Bahia;2;NE;Nordeste;2024-02-09
29;2902401;Aurelino Leal;29031;Ilhéus-Itabuna;2907;Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290007;Ilhéus ¿ Itabuna;2903;Ilhéus ¿ Itabuna;29;BA;Bahia;2;NE;Nordeste;2024-02-09
30;2902500;Baianópolis;29001;Barreiras;2901;Extremo Oeste Baiano;29;Bahia;BA;2;Nordeste;NE;290018;Barreiras;2906;Barreiras;29;BA;Bahia;2;NE;Nordeste;2024-02-09
31;2902609;Baixa Grande;29011;Itaberaba;2903;Centro Norte Baiano;29;Bahia;BA;2;Nordeste;NE;290029;Feira de Santana;2910;Feira de Santana;29;BA;Bahia;2;NE;Nordeste;2024-02-09
32;2902658;Banzaê;29015;Ribeira do Pombal;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE;290025;Ribeira do Pombal;2909;Paulo Afonso;29;BA;Bahia;2;NE;Nordeste;2024-02-09
33;2902708;Barra;29006;Barra;2902;Vale São-Franciscano da Bahia;29;Bahia;BA;2;Nordeste;NE;290021;Xique-Xique ¿ Barra;2907;Irecê;29;BA;Bahia;2;NE;Nordeste;2024-02-09
34;2902807;Barra da Estiva;29023;Seabra;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290011;Vitória da Conquista;2904;Vitória da Conquista;29;BA;Bahia;2;NE;Nordeste;2024-02-09
35;2902906;Barra do Choça;29028;Vitória da Conquista;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290011;Vitória da Conquista;2904;Vitória da Conquista;29;BA;Bahia;2;NE;Nordeste;2024-02-09
36;2903003;Barra do Mendes;29009;Irecê;2903;Centro Norte Baiano;29;Bahia;BA;2;Nordeste;NE;290020;Irecê;2907;Irecê;29;BA;Bahia;2;NE;Nordeste;2024-02-09
37;2903102;Barra do Rocha;29031;Ilhéus-Itabuna;2907;Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290014;Ipiaú;2904;Vitória da Conquista;29;BA;Bahia;2;NE;Nordeste;2024-02-09
38;2903201;Barreiras;29001;Barreiras;2901;Extremo Oeste Baiano;29;Bahia;BA;2;Nordeste;NE;290018;Barreiras;2906;Barreiras;29;BA;Bahia;2;NE;Nordeste;2024-02-09
39;2903235;Barro Alto;29009;Irecê;2903;Centro Norte Baiano;29;Bahia;BA;2;Nordeste;NE;290020;Irecê;2907;Irecê;29;BA;Bahia;2;NE;Nordeste;2024-02-09
40;2903276;Barrocas;29016;Serrinha;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE;290033;Serrinha;2910;Feira de Santana;29;BA;Bahia;2;NE;Nordeste;2024-02-09
41;2903300;Barro Preto;29031;Ilhéus-Itabuna;2907;Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290007;Ilhéus ¿ Itabuna;2903;Ilhéus ¿ Itabuna;29;BA;Bahia;2;NE;Nordeste;2024-02-09
42;2903409;Belmonte;29031;Ilhéus-Itabuna;2907;Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290009;Eunápolis - Porto Seguro;2903;Ilhéus ¿ Itabuna;29;BA;Bahia;2;NE;Nordeste;2024-02-09
43;2903508;Belo Campo;29028;Vitória da Conquista;2906;Centro Sul Baiano;29;Bahia;BA;2;Nordeste;NE;290011;Vitória da Conquista;2904;Vitória da Conquista;29;BA;Bahia;2;NE;Nordeste;2024-02-09
44;2903607;Biritinga;29016;Serrinha;2904;Nordeste Baiano;29;Bahia;BA;2;Nordeste;NE;290033;Serrinha;2910;Feira de Santana;29;BA;Bahia;2;NE;Nordeste;2024-02-09
