;id;nome;id_mun;nm_mun;id_mcr;nm_mcr;id_uf;nm_uf;sigla_uf;id_reg;nm_reg;sigla_rg;rgimd_id;rgimd_nm;rgint_id;rgint_nm;rguf_id;rguf_sgl;rguf_nm;rgrg_id;rgrg_sgl;rgrg_nm;dtigtao
0;3100104;Abadia dos Dourados;31019;Patrocínio;3105;Triângulo Mineiro/Alto Paranaíba;31;Minas Gerais;MG;3;Sudeste;SE;310061;Monte Carmelo;3111;Uberlândia;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
1;3100203;Abaeté;31024;Três Marias;3106;Central Mineira;31;Minas Gerais;MG;3;Sudeste;SE;310070;Abaeté;3113;Divinópolis;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
2;3100302;Abre Campo;31061;Manhuaçu;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;310028;Manhuaçu;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
3;3100401;Acaiaca;31060;Ponte Nova;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;310030;Ponte Nova;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
4;3100500;Açucena;31039;Ipatinga;3108;Vale do Rio Doce;31;Minas Gerais;MG;3;Sudeste;SE;310024;Ipatinga;3105;Ipatinga;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
5;3100609;Água Boa;31036;Peçanha;3108;Vale do Rio Doce;31;Minas Gerais;MG;3;Sudeste;SE;310014;Capelinha;3103;Teófilo Otoni;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
6;3100708;Água Comprida;31022;Uberaba;3105;Triângulo Mineiro/Alto Paranaíba;31;Minas Gerais;MG;3;Sudeste;SE;310055;Uberaba;3110;Uberaba;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
7;3100807;Aguanil;31045;Campo Belo;3109;Oeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310048;Campo Belo;3108;Varginha;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
8;3100906;Águas Formosas;31016;Nanuque;3104;Vale do Mucuri;31;Minas Gerais;MG;3;Sudeste;SE;310019;Águas Formosas;3103;Teófilo Otoni;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
9;3101003;Águas Vermelhas;31005;Salinas;3102;Norte de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310018;Pedra Azul;3103;Teófilo Otoni;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
10;3101102;Aimorés;31041;Aimorés;3108;Vale do Rio Doce;31;Minas Gerais;MG;3;Sudeste;SE;310023;Aimorés - Resplendor;3104;Governador Valadares;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
11;3101201;Aiuruoca;31055;Andrelândia;3110;Sul/Sudoeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310054;Caxambu - Baependi;3109;Pouso Alegre;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
12;3101300;Alagoa;31054;São Lourenço;3110;Sul/Sudoeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310053;São Lourenço;3109;Pouso Alegre;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
13;3101409;Albertina;31051;Poços de Caldas;3110;Sul/Sudoeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310050;Pouso Alegre;3109;Pouso Alegre;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
14;3101508;Além Paraíba;31066;Cataguases;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;310036;Além Paraíba;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
15;3101607;Alfenas;31049;Alfenas;3110;Sul/Sudoeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310042;Alfenas;3108;Varginha;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
16;3101631;Alfredo Vasconcelos;31059;Barbacena;3111;Campo das Vertentes;31;Minas Gerais;MG;3;Sudeste;SE;310037;Barbacena;3107;Barbacena;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
17;3101706;Almenara;31014;Almenara;3103;Jequitinhonha;31;Minas Gerais;MG;3;Sudeste;SE;310015;Almenara;3103;Teófilo Otoni;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
18;3101805;Alpercata;31037;Governador Valadares;3108;Vale do Rio Doce;31;Minas Gerais;MG;3;Sudeste;SE;310020;Governador Valadares;3104;Governador Valadares;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
19;3101904;Alpinópolis;31047;Passos;3110;Sul/Sudoeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310041;Passos;3108;Varginha;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
20;3102001;Alterosa;31049;Alfenas;3110;Sul/Sudoeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310042;Alfenas;3108;Varginha;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
21;3102050;Alto Caparaó;31061;Manhuaçu;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;310028;Manhuaçu;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
22;3102100;Alto Rio Doce;31062;Viçosa;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;310037;Barbacena;3107;Barbacena;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
23;3102209;Alvarenga;31041;Aimorés;3108;Vale do Rio Doce;31;Minas Gerais;MG;3;Sudeste;SE;310025;Caratinga;3105;Ipatinga;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
24;3102308;Alvinópolis;31031;Itabira;3107;Metropolitana de Belo Horizonte;31;Minas Gerais;MG;3;Sudeste;SE;310030;Ponte Nova;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
25;3102407;Alvorada de Minas;31028;Conceição do Mato Dentro;3107;Metropolitana de Belo Horizonte;31;Minas Gerais;MG;3;Sudeste;SE;310016;Diamantina;3103;Teófilo Otoni;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
26;3102506;Amparo do Serra;31062;Viçosa;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;310030;Ponte Nova;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
27;3102605;Andradas;31051;Poços de Caldas;3110;Sul/Sudoeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310051;Poços de Caldas;3109;Pouso Alegre;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
28;3102704;Cachoeira de Pajeú;31013;Pedra Azul;3103;Jequitinhonha;31;Minas Gerais;MG;3;Sudeste;SE;310018;Pedra Azul;3103;Teófilo Otoni;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
29;3102803;Andrelândia;31055;Andrelândia;3110;Sul/Sudoeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310027;Juiz de Fora;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
30;3102852;Angelândia;31011;Capelinha;3103;Jequitinhonha;31;Minas Gerais;MG;3;Sudeste;SE;310014;Capelinha;3103;Teófilo Otoni;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
31;3102902;Antônio Carlos;31059;Barbacena;3111;Campo das Vertentes;31;Minas Gerais;MG;3;Sudeste;SE;310037;Barbacena;3107;Barbacena;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
32;3103009;Antônio Dias;31039;Ipatinga;3108;Vale do Rio Doce;31;Minas Gerais;MG;3;Sudeste;SE;310024;Ipatinga;3105;Ipatinga;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
33;3103108;Antônio Prado de Minas;31063;Muriaé;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;310031;Muriaé;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
34;3103207;Araçaí;31027;Sete Lagoas;3107;Metropolitana de Belo Horizonte;31;Minas Gerais;MG;3;Sudeste;SE;310002;Sete Lagoas;3101;Belo Horizonte;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
35;3103306;Aracitaba;31065;Juiz de Fora;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;310027;Juiz de Fora;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
36;3103405;Araçuaí;31012;Araçuaí;3103;Jequitinhonha;31;Minas Gerais;MG;3;Sudeste;SE;310017;Araçuaí;3103;Teófilo Otoni;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
37;3103504;Araguari;31018;Uberlândia;3105;Triângulo Mineiro/Alto Paranaíba;31;Minas Gerais;MG;3;Sudeste;SE;310059;Uberlândia;3111;Uberlândia;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
38;3103603;Arantina;31055;Andrelândia;3110;Sul/Sudoeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310027;Juiz de Fora;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
39;3103702;Araponga;31062;Viçosa;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;310033;Viçosa;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
40;3103751;Araporã;31018;Uberlândia;3105;Triângulo Mineiro/Alto Paranaíba;31;Minas Gerais;MG;3;Sudeste;SE;310059;Uberlândia;3111;Uberlândia;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
41;3103801;Arapuá;31020;Patos de Minas;3105;Triângulo Mineiro/Alto Paranaíba;31;Minas Gerais;MG;3;Sudeste;SE;310062;Patos de Minas;3112;Patos de Minas;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
42;3103900;Araújos;31026;Bom Despacho;3106;Central Mineira;31;Minas Gerais;MG;3;Sudeste;SE;310065;Divinópolis;3113;Divinópolis;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
43;3104007;Araxá;31023;Araxá;3105;Triângulo Mineiro/Alto Paranaíba;31;Minas Gerais;MG;3;Sudeste;SE;310056;Araxá;3110;Uberaba;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
44;3104106;Arceburgo;31048;São Sebastião do Paraíso;3110;Sul/Sudoeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310044;Guaxupé;3108;Varginha;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
45;3104205;Arcos;31044;Formiga;3109;Oeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310066;Formiga;3113;Divinópolis;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
46;3104304;Areado;31049;Alfenas;3110;Sul/Sudoeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310042;Alfenas;3108;Varginha;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
47;3104403;Argirita;31066;Cataguases;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;310032;Cataguases;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
48;3104452;Aricanduva;31011;Capelinha;3103;Jequitinhonha;31;Minas Gerais;MG;3;Sudeste;SE;310014;Capelinha;3103;Teófilo Otoni;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
49;3104502;Arinos;31001;Unaí;3101;Noroeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310063;Unaí;3112;Patos de Minas;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
50;3104601;Astolfo Dutra;31064;Ubá;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;310032;Cataguases;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
51;3104700;Ataléia;31015;Teófilo Otoni;3104;Vale do Mucuri;31;Minas Gerais;MG;3;Sudeste;SE;310013;Teófilo Otoni;3103;Teófilo Otoni;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
52;3104809;Augusto de Lima;31025;Curvelo;3106;Central Mineira;31;Minas Gerais;MG;3;Sudeste;SE;310004;Curvelo;3101;Belo Horizonte;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
53;3104908;Baependi;31054;São Lourenço;3110;Sul/Sudoeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310054;Caxambu - Baependi;3109;Pouso Alegre;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
54;3105004;Baldim;31027;Sete Lagoas;3107;Metropolitana de Belo Horizonte;31;Minas Gerais;MG;3;Sudeste;SE;310002;Sete Lagoas;3101;Belo Horizonte;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
55;3105103;Bambuí;31042;Piuí;3109;Oeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310066;Formiga;3113;Divinópolis;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
56;3105202;Bandeira;31014;Almenara;3103;Jequitinhonha;31;Minas Gerais;MG;3;Sudeste;SE;310015;Almenara;3103;Teófilo Otoni;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
57;3105301;Bandeira do Sul;31051;Poços de Caldas;3110;Sul/Sudoeste de Minas;31;Minas Gerais;MG;3;Sudeste;SE;310051;Poços de Caldas;3109;Pouso Alegre;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
58;3105400;Barão de Cocais;31031;Itabira;3107;Metropolitana de Belo Horizonte;31;Minas Gerais;MG;3;Sudeste;SE;310003;Santa Bárbara - Ouro Preto;3101;Belo Horizonte;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
59;3105509;Barão de Monte Alto;31063;Muriaé;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;310031;Muriaé;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
60;3105608;Barbacena;31059;Barbacena;3111;Campo das Vertentes;31;Minas Gerais;MG;3;Sudeste;SE;310037;Barbacena;3107;Barbacena;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
61;3105707;Barra Longa;31060;Ponte Nova;3112;Zona da Mata;31;Minas Gerais;MG;3;Sudeste;SE;310030;Ponte Nova;3106;Juíz de Fora;31;MG;Minas Gerais;3;SE;Sudeste;2024-02-09
